topic,answer_type,problem,expected_answer
Politics,Date,On what date (day/month/year) was Makhdum Khusro Bakhtyar (Pakistani politician) inducted into the Federal Cabinet of Prime Minister Shaukat Aziz?,04-Sep-04
Politics,Person,Who did Mike Bickle endorse in the 2016 presidential race?,Ted Cruz.
Art,Date,In which year was Srinagar declared a UNESCO Creative City?,2021
TV shows,Other,What was Conrad Schintz's dog's full name on Dimension 20's Mentopolis?,Justin Fication
Other,Person,Who else did Jessica Hahn accuse of rape besides Jim Bakker?,John Wesley Fletcher.
Geography,Place,"Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?",Budshah Bridge
Video games,Other,"In the video game Dark Souls 1 for the PlayStation 3, which starting class has 11 vitality, 13 strength, and starts at soul level 4?",Warrior
TV shows,Person,"Who plays Emmanuel Adamu in Season 2 of ""The Bear""?",Robert Townsend
Politics,Place,"What university was awarded the ""Visitor's Award"" for ""Best University"" in 2017 by the President of India?",Jawaharlal Nehru University
Science and technology,Person,"What is the surname of the individual who won the Faraday Lectureship Prize, previously known simply as the Faraday Lectureship, in 1914?",Arrhenius
Science and technology,Person,Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,Linus Pauling
Sports,Date,In which two years did Rugged Lark win the AQHA World Show Superhorse title?,1985 and 1987
Art,Number,How many of his early oil portraits did English sculptor Robert Adams exhibit in the Northampton Public Library in April 1946?,14
Science and technology,Place,In which city was the first International Association for Engineering Geology and the Environment congress held?,Paris
Politics,Other,What was the 2021 Word of the Year according to the American Dialect Society?,insurrection
Science and technology,Other,"New Yorker Edward A. Tuttle's patent application was granted on October 11, 1881, for what kind of machine?",Exercising Machine
Science and technology,Number,What is the specified maximum speed in kilometers per hour of the Grumman F4F-3 Wildcat (1937) plane?,533 km/h
,,What is the name of the seminal film that Lygia Pape made in 1975?,Eat Me
TV shows,Person,"In Moesha, who played Theresa in Season 5?",Marissa Jaret Winokur
Geography,Place,"According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?",Iceland
Art,Date,"What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?",1938
Music,Other,"After Bessie Smith's car accident, which arm was amputated?",The right arm
Other,Date,"On which day and month was the victim of the 2013 Mumbai gang rape, also known as the Shakti Mills gang rape case, discharged from the hospital after the incident?",27-Aug
Art,Place,What are the names of the three notable archaeological sites where Igbo-Ukwu art was discovered?,"Igbo Isaiah, Igbo Richard, and Igbo Jonah"
Other,Date,Which year did Herbert Gintis receive his master's degree?,1962
TV shows,Person,"In Episode 7, Season 2 of the American version of ""The Circle,"" who leaves the players a message on how to play the game Glammequins?",Jonathan Van Ness
Politics,Date,In what year was Oliviero Diliberto first elected as an MP for the Communist Refoundation Party?,1994
Music,Other,Which two instruments was John Cage's experimental piece *Two^5* written for?,Tenor trombone and piano
TV shows,Other,"As a teen, what job sparked Shonda Rhimes' interest in hospital environments?",hospital volunteer
Politics,Date,In which year did Karl Polanyi become a founding member of the National Citizens' Radical Party?,1914
Sports,Number,"How many balls did Dwayne Bravo play in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?",15
Science and technology,Person,"Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?",Robert H. Dicke.
Other,Place,From which university did David Hibbett receive his Bachelor of Arts degree?,University of Massachusetts Amherst
TV shows,Person,Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,Deidre Lang
TV shows,Other,"What is the title of Series 1, Episode 17 of *Space: 1999*?","""The Last Sunset"""
Geography,Place,Which specific ocean was the asteroid 224 Oceana named after?,Pacific Ocean
History,Date,In which year was Akhnoor Fort (in Jammu City of Jammu and Kashmir) declared a national monument?,1982
Other,Date,Which year was the non-profit organization Prayas Nepal established?,2003
Music,Place,In what district was the English songwriter Robert Patrick Weston born?,Islington
Art,Date,"In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?",Feb-10
Science and technology,Person,Who published the first scientific description of the Asiatic lion in 1826?,Johann N. Meyer
Science and technology,Date,In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?,2016
Geography,Number,What is the topographic isolation of Pentagon Mountain in Montana in kilometers?,17.48 km
Art,Other,"In 2015, in what exhibition was Henry Ossawa Tanner's work included?","We Speak: Black Artists in Philadelphia, 1920s-1970s"
Sports,Person,What coach was Mike Young an assistant to at Radford University?,Oliver Purnell
Politics,Other,Where was Juvénal Habyarimana's body identified within?,In a flowerbed
Science and technology,Other,"What language is represented in Figure 4 of the paper ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?",Zenzontepec Chatino
Science and technology,Person,Which scientist received the American Chemical Society Award in Pure Chemistry in 1933?,Frank Harold Spedding
Music,Other,What is the title of the song (English version) for which Isadora Duncan composed the Varshavianka dance routine?,"""Whirlwinds of Danger"""
Art,Place,Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?,Yaama Mosque
Science and technology,Person,What is the name of the entomologist who described the species Acanthops bidens in 1922?,Morgan Hebard
Art,Place,From what school did Phyllida Barlow graduate in 1966?,the Slade School of Art 
Art,Person,"The Dante-Alighieri monument, located on Allée des Poètes along Rue D'Auteuil, was created by L'atelier Attitude and inspired by the work of what Italian-born sculptor?",Carlo Balboni
Art,Place,In which Ukrainian city was male impersonator Pepi Litman born?,Ternopil
Art,Other,What is the full title of Zanele Muholi's first publication?,Zanele Muholi: Only Half The Picture
Art,Person,"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""",Baron Vadim Nikolayevich von Root
Politics,Date,"On which day, month, and year did the signing ceremony between the Colombian government and the ELN occur, leading to a six-month-long ceasefire between the two parties?",09-Jun-23
Art,Other,In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?,The Salon Champs de Mars
Science and technology,Person,Who won the Godman-Salvin Medal in 2010?,Ian Newton
Other,Number,How many years was the attraction Horizons at EPCOT sponsored by General Electric?,10
Politics,Number,"How much money in US dollars did Howard Schultz donate to Barack Obama's campaign on October 24, 2008?","$2,300"
History,Other,What item was found in a damaged wooden coffin in July 2018 by Ramadan Badry Hussein?,Mask
Science and technology,Date,"What were the month and year when scientists reported that bacteria from Earth, particularly Deinococcus radiodurans bacteria, which is highly resistant to environmental hazards, were found to survive for three years in outer space?",Aug-20
Art,Date,"From what year to what year was Mary Ann Willson, an American folk artist, active?", 1810 to 1825
Art,Date,"Between what dates was the Stanford University exhibition titled ""Eamon Ore-Giron: Non Plus Ultra"" on view? Please give me the full dates (month, day, and year).","23 September, 2021 to 20 February, 2022"
Science and technology,Number,What is the molar heat capacity of selenium at STP in joules per kelvin per mole?,25.363
Art,Person,Who designed Buenos Aires's Palais de Glace?,J. L. Ruiz Basadre
Politics,Person,"Who was Japan's Prime Minister after Ichirō Hatoyama left office on December 23, 1956?",Tanzan Ishibashi
Sports,Number,How many silver medals did Kristin Otto win at the 1986 World Championships in Madrid?,2 silver medals
History,Person,"What was the name of the man who served as Reeve of North Red Deer, Alberta, between 1924 and 1925?",A.M. Donnelly.
Science and technology,Person,Who won the Eddington Medal in 1993?,Leon Mestel
TV shows,Other,"What are the season number, episode number, and title of the ""Vikings"" episode in which Floki says, ""I build boats, Ragnar. You're the navigator""?","Season 2, Episode 2 ""Invasion"""
Art,Person,"Which architect was tasked with finishing the chapel in the newly built Papal apartment when its construction remained incomplete after Pope Paul IV moved in, in October 1556?",Pirro Ligorio
,,"Which famous drummer opened a Wahoo's Fish Taco restaurant in Norco, California, in 2004?",Travis Barker
Politics,Date,"On what day, month, and year did Chief Gani Fawehinmi win the ‘Bruno Kreisky’ award from the Government of Austria?","June 11, 1993"
Science and technology,Date,"On what month, day, and year did Google run its first live-action video doodle?","April 15, 2011"
Other,Date,"What day, month, and year was John Philip Bughaw born?","November 7, 2008."
TV shows,Other,What was the occupation of the runner-up from Season 2 of The Bachelor?,college student
